product_name,price,discount_percent,product_rating,number_of_reviews,freeship,category,sold
may hut bui cam tay khong day damas da113c - luc hut manh me 16000pa - đa nang hut bui kho va uot - may hut bui o to hut bui gia đinh,315560,55,4.6,45,1,may hut bui,128
may hut bui cam tay khong day sac pin đa nang damas d610w - hang nhap khau,475640,47,4.7,37,1,may hut bui,146
may hut bui nha green home gha 102,888000,5,4.6,11,1,may hut bui,217
may hut bui cam tay khong day su dung pin sac damas vacuum cleaner d610w,497000,48,4.6,434,1,may hut bui,2000
may hut bui kho va uot hiclean sp30 cong suat 1500w thung nhua abs dung tich 30l,2011000,2,4.7,3,1,may hut bui,2
may hut bui cam tay khong day su dung pin sac chuyen dung hut bui ve sinh giuong nem chan ga ghe sofa may hut bui giuong nem diet khuan uv - hang chinh hang miniin,159200,20,4.3,3,1,may hut bui,12
may hut bui cam tay cong nghe loc xoay 2 chieu votemm (600w) - hang chinh hang hut manh chay em bao hanh 1 nam,890000,41,4.6,11,1,may hut bui,35
may hut bui cam tay mini deerma dx118c dung tich binh chua bui 12l,540000,8,5.0,1,1,may hut bui,22
may hut bui deerma dx700s ( hang nhap khau ),785000,6,4.8,21,1,may hut bui,66
noi chien khong dau daewoo def-dm550 (26l),932000,53,4.5,5,1,noi chien khong dau,32
noi chien khong dau daewoo def-dm555 (26l),932000,57,4.5,10,1,noi chien khong dau,72
noi chien khong dau philips hd9280 90 essential size xl digital connected,2330000,53,5.0,39,1,noi chien khong dau,225
noi chien khong dau philips 62 lit na23000,1806300,40,5.0,14,1,noi chien khong dau,73
noi chien khong dau philips 42 lit na22000,1581150,34,5.0,3,1,noi chien khong dau,24
noi chien khong dau philips 42 lit na12000,1050100,45,5.0,4,1,noi chien khong dau,24
noi chien khong dau the he moi dung tich lon cong suat 1500w - hang nhap khau,584900,10,5.0,1,1,noi chien khong dau,12
noi chien khong dau đien tu bluestone afb-5880 (55 lit),2849000,2,5.0,2,1,noi chien khong dau,14
noi chien khong dau sunhouse shd4062 (60 lit),1495000,3,4.7,3,1,noi chien khong dau,3
noi chien khong dau bluestone afb-5858 7 lit 1800w,2949000,2,5.0,1,1,noi chien khong dau,2
noi chien khong dau đien tu bluestone afb-5888 (10 lit),4949000,1,5.0,1,1,noi chien khong dau,16
noi chien khong dau viaicom v45a cong nghe moi nhat,1249000,4,3.5,1,1,noi chien khong dau,2
noi chien khong dau philips hd9745 (1500w),6640000,1,4.0,1,1,noi chien khong dau,1
noi chien khong dau philips hd920090 (41 lit),1643000,29,5.0,17,1,noi chien khong dau,52
noi chien khong dau perfect pf-d92 (5 lit),1175000,4,4.1,1,1,noi chien khong dau,4
noi chien khong dau khong lo 12 lit mishio mk393 1700w,1089050,9,4.7,3,1,noi chien khong dau,5
noi chien khong dau sunhouse shd4035 (90 lit),1800000,3,3.6,1,1,noi chien khong dau,3
noi chien khong dau hafele af-602a 11 lit hang chinh hang,5554500,1,4.7,3,1,noi chien khong dau,12
noi chien khong dau đa nang 360 đo nagakawa nag3302 (9 lit),2150000,2,5.0,1,1,noi chien khong dau,1
noi chien khong dau đien tu locklock ejf357blk (52 lit),3239750,38,4.7,6563,1,noi chien khong dau,24000
bo san pham men stay simplicity cham soc da dau mun cho nam acne relief skincare trio sua rua mat 100g x serum 30ml x kem duong am 80g,597000,8,5.0,7,1,my pham,38
bo san pham men stay simplicity sang da mo tham cho nam sua rua mat 100g vital serum sang da 30ml kem duong am 80g,657000,7,4.7,7,1,my pham,44
bo 3 san pham ho tro lam trang sang giam nam mun derma crystal matrix navacos,1640000,3,4.0,1,1,my pham,2
bo cham soc da mat origani erda indulgence facial collection (5 san pham) - co chung nhan huu co - cham soc da vung mat cung duong am da mat,18950000,0,4.7,3,1,my pham,2
bo san pham cham soc men stay simplicity phuc hoi can bang da cho nam recovery trio 01 sua rua mat 100g x seurm 30ml x kem duong am 80g,657000,7,4.7,3,1,my pham,9
bo my pham duong am da queenie 2 san pham,410000,13,4.5,1,1,my pham,1
tui đung my pham pakasa,55752,56,4.8,8,1,my pham,42
ke đung my pham 5 tang pakasa,143942,42,4.7,3,1,my pham,7
bo san pham chuyen biet danh cho da dau mun la roche posay,675000,7,5.0,7,1,my pham,25
tui đung my pham xanh hoa tiet hoa,33600,20,4.7,3,1,my pham,15
ke my pham cao cap tu đe đo trang điem my pham treo tuong bang nhua abs,130400,33,4.7,3,1,my pham,16
