product_name,price,discount_percent,product_rating,number_of_reviews,freeship,category,sold
"Máy làm sữa hạt Elmich CBE-3904OL, công suất 800W, 7 chế độ nấu được thiết lập sẵn, lưỡi dao 3 tầng 8 cánh giúp xay nhuyễn - Hàng chính hãng",1.394.960,-66%,4.8,(94),1,máy in,đã bán 627
Túi Nước Giặt Omo Matic Cho Máy Giặt Cửa Trước Hương Hoa Anh Thảo Ngăn Mùi Ẩm Mốc 3.6KG,156.000,-31%,5.0,(22),1,máy in,đã bán 267
Máy xay sinh tố cầm tay Elmich BLE9213 - Hàng chính hãng,530.160,-65%,4.7,(3),1,máy ảnh,đã bán 16
Sách Hồ Chí Minh - Tiểu Sử Bằng Hình (Gần 700 Tranh Ảnh Và Bản Đồ),475.000,-30%,5.0,(3),1,máy ảnh,đã bán 86
Sách Uy thế lượng tử. Cuộc cách mạng máy tính lượng tử sẽ làm thay đổi tất cả như thế nào,128.800,-40%,5.0,(3),1,máy ảnh,đã bán 117
Máy xay tỏi ớt cầm tay Elmich PBE-8659 - Hàng chính hãng,226.540,-72%,4.8,(20),1,máy ảnh,đã bán 131
Máy tỉa lông mũi Enchen EN005 Bỏ túi tiện lợi Dễ dàng làm sạch nhanh - Hàng chính hãng,98.040,-24%,4.5,(10),1,máy ảnh,đã bán 109
Giá Đỡ Điện Thoại Trên Ô Tô Kẹp Gắn Cửa Khe Gió Điều Hoà Xoay 360 Nhỏ Gọn Tiện Lợi - Hàng Nhập Khẩu,71.200,-20%,5.0,(7),1,máy ảnh,đã bán 44
"Kệ đỡ Laptop gắn máy Rhino KL901 Tiện lợi, nhỏ gọn, dễ dàng mang theo, siêu bền, kê cao lên tới 12 độ - Hàng chính hãng",47.200,-41%,5.0,(9),1,máy ảnh,đã bán 83
Hộp mực 85A 35A dành cho máy in Canon LBP 6030w 6000 6030 F158200 HP P1102/P1212/P1102W/1136/1216/1130 - LBP 3010/3050/3020 Hàng chính hãng Alpha Cartridge,94.000,-20%,4.8,(6),1,máy ảnh,đã bán 184
Mực in Dành Cho Máy Canon 2900/L11121E - Hộp mực 12A HP 1010/ 1015/ 1018/ 1020/ 3015/ 3020/ 3030/ 3050/ 3055/ M1005MFP Hàng chính hãng Alpha Cartridge,100.000,-20%,5.0,(8),1,máy ảnh,đã bán 270
"Thiết bị thu phát âm thanh Usb bluetooth 5.0 đa chức năng jack cắm 3.5mm cho loa, Tivi, máy tính, laptop, xe ô tô tặng kèm que chọc sim, Hàng Chính Hãng",84.000,-20%,4.6,(22),1,máy ảnh,đã bán 189
"Máy sấy tóc công nghệ ion Elmich HDE-8591, công suất 1900W, tay cầm gấp gọn tiện dụng, sấy ion với mật độ lên tới 1,2 triệu ion/m3 kèm lực gió khỏe - Hàng Chính Hãng",587.500,-67%,5.0,(22),1,máy ảnh,đã bán 179
"Máy Đánh Trứng, Đánh Sữa Và Tạo Bọt Cafe Cầm Tay Di Động 3 Tốc Độ Sử Dụng Pin Sạc Cao Cấp - Giao màu ngẫu nhiên",132.000,-20%,4.5,(39),1,máy ảnh,đã bán 401
Máy sấy tóc Elmich HDE-1812 - Hàng Chính Hãng,235.000,-72%,5.0,(10),1,máy ảnh,đã bán 67
Máy Tăm Nước Không Dây LocknLock Cordless Oral Irrigator,702.400,-44%,4.7,(2026),1,máy ảnh,đã bán 11000
Máy Vắt Cam Lock&Lock EJJ231 (40W) - Hàng chính hãng,258.132,-48%,4.7,(3894),1,máy ảnh,đã bán 407
Tai nghe nhét tai jack cắm Type-C có mic hoco. M101 Pro tương thích rộng với các máy Android chân Type C và cho Iphone 15 Ipad Chân Type C - Hàng chính hãng,79.200,-20%,4.8,(29),1,máy ảnh,đã bán 353
"Bàn học sinh gấp gọn thông minh có khe máy tính bảng, khay để ly - chân bàn sơn tĩnh điện",108.000,-35%,4.1,(14),1,máy ảnh,đã bán 141
Máy Lọc Không Khí Philips AC0650 (39m2) - Hàng Chính Hãng,1.801.550,-38%,5.0,(9),1,máy ảnh,đã bán 68
Máy Sấy Tóc Lock&Lock ENA136 2000-2200W - Hàng chính hãng,792.888,-42%,4.8,(980),1,máy ảnh,đã bán 1000
Muối Rửa Chén Bát Finish Salt - Bịch 1KG,113.600,-33%,5.0,(7),1,máy ảnh,đã bán 87
Giá đỡ điện thoại máy tính bảng nhôm nguyên khối trục xoay 360° gấp gọn tiện dụng - Hàng nhập khẩu,31.824,-59%,5.0,(1),1,máy tính bảng,đã bán 33
"Gamepad tay game Có dây TS102 cho máy tính, laptop, smartphone, máy tính bảng hàng nhập khẩu",240.000,-17%,4.6,(2),1,máy tính bảng,đã bán 2
Bộ Tua Vít Sửa Chữa Đa Năng 9 Món Cao Cấp Chất Liệu Siêu Bền Thiết Kế Gọn Nhẹ Tinh Tế Bộ dụng cụ Chuyên sửa chữa điện thoại / máy tính bảng / máy tính xách tay Laptop Thiết Bị Điện Tử,54.880,-22%,4.7,(3),1,máy tính bảng,đã bán 13
"Đầu Đọc Thẻ Nhớ Đa Năng 3 Trong 1 cho thiết bị Tablet, Cell Phone, Thẻ nhớ TF, SD Card - Cổng Type C - Hàng chính hãng",84.000,-33%,4.7,(3),1,máy tính bảng,đã bán 21
"Giá đỡ điện thoại/ máy tính bảng TS90, phụ kiện quay video để bàn, hỗ trợ quay nấu ăn và review sản phẩm - Hàng chính hãng",300.000,,5.0,(3),1,máy tính bảng,
Giá Kẹp Đọc Sách Chống Cận Giá Đỡ Máy Tính Bảng Điều Chỉnh 180°,96.000,-20%,5.0,(5),1,máy tính bảng,đã bán 51
"Loa Sound Bar không dây Bluetooth E3404 cho máy tính, laptop, điện thoại, máy tính bảng hàng nhập khẩu",315.000,-14%,4.0,(1),1,máy tính bảng,đã bán 5
"Bộ Bàn phím chuột không dây W609 có khe để điện thoại , máy tính bảng - kết nối bluetooth 5.0 + Usb 2.4g Pin sạc TypeC hàng nhập khẩu",470.000,-10%,5.0,(1),1,máy tính bảng,đã bán 17
"Bút cảm ứng Wiwu Pencil Pro IV cho điện thoại, máy tính bảng sử dụng chip dẫn thông minh và lõi bút tùy chỉnh - Hàng chính hãng",500.000,-9%,4.4,(1),1,máy tính bảng,đã bán 2
Giá Đỡ Điện Thoại Để Bàn Kẹp Điện Thoại Máy tính bảng TiMa.lala Livestream Xem Video Xoay 360 Độ L02 - Hàng chính hãng,119.200,-20%,N/A,N/A,1,máy tính bảng,đã bán 12
"Cáp Sạc Hai Đầu USB C 100W Có Chip E-Marker , Cáp Sạc Siêu Nhanh Type C to Type C Chuẩn PD QC VOOC 100W cho Smartphone / iPad / iPhone / Samsung / Tablet / Xiaomi / Oppo / Huawei - Hàng Chính Hãng",79.200,-20%,3.7,(1),1,máy tính bảng,đã bán 4
"Củ sạc nhanh Prolink GD520001 5 cổng 200W (PD 3.0 & QC4+) công nghệ GAN phù hợp iPhone, Macbook, iPad, Laptop, Tablet - Hàng chính hãng",1.950.000,-3%,4.4,(1),1,máy tính bảng,đã bán 2
"Máy tính bảng Kindle Fire MAX 11, màn hình 11 inch, RAM 4GB, CPU Octa-core 2.2Ghz, bộ nhớ 64/128GB - Hàng chính hãng",4.900.000,,5.0,(2),1,máy tính bảng,đã bán 5
"Giá đỡ kệ đỡ cho iPad / Tablet / máy tính bảng xoay 360 độ hiệu WIWU Destop Rolation Stand ZM-010 - thay đổi chiều cao, xoay mọi góc độ, gấp gọn khi không sử dụng - Hàng nhập khẩu",299.000,-14%,3.6,(1),1,máy tính bảng,đã bán 5
Tặng Găng Tay Vẽ Trị Giá 139K - Bảng Vẽ Cảm Ứng Huion Inspiroy H580X Màn Hình Rộng 8x5 Inch Bút Không Pin 8192 Lực Nhấn - Hàng Chính Hãng.Huion H580X Graphics Tablet Digital Battery Free Pen Tablets Signature Drawing Pad Phone Connectivity Chorm OS Androi,1.498.000,-4%,3.5,(2),1,máy tính bảng,đã bán 3
"Bộ gamepad nút chơi game bắn súng hiệu Rock Shooting Game Control cho iPad và máy tính bảng thao tác cực nhạy, tương thích với các dòng game PUBG, Call Of Duty, Haflife, .... - hàng nhập khẩu",95.200,-20%,N/A,N/A,1,máy tính bảng,đã bán 2
"Dây sạc type C To C PROLiNK GCC_100_02 dài 2M, sạc siêu nhanh 100W, màn hình Led, dành cho Tablet, Macbook, Laptop - Hàng chính hãng",168.000,-20%,4.1,(7),1,máy tính bảng,đã bán 33
Túi chống va đập chính hãng TOMTOC (USA) Portfolio Holder Hardshell cho iPad Pro/Tablet/Notebook,1.199.000,-4%,4.0,(1),1,máy tính bảng,đã bán 2
"Micro không Dây F18 cho điện thoại , máy tính bảng , android , ios chất lượng cao - hàng nhập khẩu",132.000,-20%,4.3,(20),1,máy tính bảng,đã bán 165
Bao Da Máy Tính Bảng Nắp Gập Từ Tính Chống Vân Tay dành cho Samsung Galaxy Tab A 8.0 2019 T290/T295/T297_Hàng Chính Hãng b047,192.629,-20%,5.0,(1),1,máy tính bảng,đã bán 2
Điện thoại OPPO A3 8GB/128GB - Hàng Chính Hãng,4.090.000,-23%,4.7,(14),1,điện thoại,đã bán 12000
Điện Thoại Samsung Galaxy A56 5G - Hàng Chính Hãng,7.490.000,-24%,5.0,(19),1,điện thoại,đã bán 883
"Điện thoại Samsung Galaxy A06 5G (4/128GB), Màn Hình Cực Đại HD+ 6.7”, 5G Kết nối cực nhanh - Hàng chính hãng",2.450.000,-38%,4.7,(16),1,điện thoại,đã bán 17000
Điện thoại Tecno SPARK GO 2 ( 4GB - 64GB) - Hàng Chính Hãng,1.990.000,-33%,5.0,(1),1,điện thoại,đã bán 20
